


Generated ER network with 100 nodes

Running ER | seeds=1.0% of 100 | mal=1.0% of 100 | θ=0.1
Running polblogs-attack | seeds=1.0% of 1222 | mal=10.0% of 1222 | θ=0.5
polblogs-attack| seeds=12| mal=122| θ=0.5 -> reached 17/1222, corrupted 0/17

Running polblogs-attack | seeds=5.0% of 1222 | mal=1.0% of 1222 | θ=0.1
polblogs-attack| seeds=61| mal=12| θ=0.1 -> reached 1222/1222, corrupted 891/1222

Running polblogs-attack | seeds=5.0% of 1222 | mal=1.0% of 1222 | θ=0.3
polblogs-attack| seeds=61| mal=12| θ=0.3 -> reached 96/1222, corrupted 0/96

Running polblogs-attack | seeds=5.0% of 1222 | mal=1.0% of 1222 | θ=0.5
polblogs-attack| seeds=61| mal=12| θ=0.5 -> reached 69/1222, corrupted 0/69

Running polblogs-attack | seeds=5.0% of 1222 | mal=5.0% of 1222 | θ=0.1
polblogs-attack| seeds=61| mal=61| θ=0.1 -> reached 1222/1222, corrupted 897/1222

Running polblogs-attack | seeds=5.0% of 1222 | mal=5.0% of 1222 | θ=0.3
polblogs-attack| seeds=61| mal=61| θ=0.3 -> reached 96/1222, corrupted 0/96

Running polblogs-attack | seeds=5.0% of 1222 | mal=5.0% of 1222 | θ=0.5
polblogs-attack| seeds=61| mal=61| θ=0.5 -> reached 86/1222, corrupted 0/86

Running polblogs-attack | seeds=5.0% of 1222 | mal=10.0% of 1222 | θ=0.1
polblogs-attack| seeds=61| mal=122| θ=0.1 -> reached 1222/1222, corrupted 1010/1222

Running polblogs-attack | seeds=5.0% of 1222 | mal=10.0% of 1222 | θ=0.3
polblogs-attack| seeds=61| mal=122| θ=0.3 -> reached 103/1222, corrupted 0/103

Running polblogs-attack | seeds=5.0% of 1222 | mal=10.0% of 1222 | θ=0.5
polblogs-attack| seeds=61| mal=122| θ=0.5 -> reached 68/1222, corrupted 0/68

Running polblogs-attack | seeds=10.0% of 1222 | mal=1.0% of 1222 | θ=0.1
polblogs-attack| seeds=122| mal=12| θ=0.1 -> reached 1222/1222, corrupted 813/1222

Running polblogs-attack | seeds=10.0% of 1222 | mal=1.0% of 1222 | θ=0.3
polblogs-attack| seeds=122| mal=12| θ=0.3 -> reached 176/1222, corrupted 0/176

Running polblogs-attack | seeds=10.0% of 1222 | mal=1.0% of 1222 | θ=0.5
polblogs-attack| seeds=122| mal=12| θ=0.5 -> reached 157/1222, corrupted 0/157

Running polblogs-attack | seeds=10.0% of 1222 | mal=5.0% of 1222 | θ=0.1
polblogs-attack| seeds=122| mal=61| θ=0.1 -> reached 1222/1222, corrupted 1054/1222

Running polblogs-attack | seeds=10.0% of 1222 | mal=5.0% of 1222 | θ=0.3
polblogs-attack| seeds=122| mal=61| θ=0.3 -> reached 201/1222, corrupted 0/201

Running polblogs-attack | seeds=10.0% of 1222 | mal=5.0% of 1222 | θ=0.5
polblogs-attack| seeds=122| mal=61| θ=0.5 -> reached 153/1222, corrupted 0/153

Running polblogs-attack | seeds=10.0% of 1222 | mal=10.0% of 1222 | θ=0.1
polblogs-attack| seeds=122| mal=122| θ=0.1 -> reached 1222/1222, corrupted 1071/1222

Running polblogs-attack | seeds=10.0% of 1222 | mal=10.0% of 1222 | θ=0.3
polblogs-attack| seeds=122| mal=122| θ=0.3 -> reached 165/1222, corrupted 0/165

Running polblogs-attack | seeds=10.0% of 1222 | mal=10.0% of 1222 | θ=0.5
polblogs-attack| seeds=122| mal=122| θ=0.5 -> reached 165/1222, corrupted 0/165
